Player,Team,Position,ruATT,ruYDS,ruTDS,reREC,reYDS,reTDS,paATT,paCMP,paYDS,paTDS,INTS
Darren Waller,MIA,TE,0.0,0.0,0.0,51.8,576.6,3.6,0.0,0.0,0.0,0.0,0.0
Cade Otton,TB,TE,0.0,0.0,0.0,52.4,535.6,4.0,0.0,0.0,0.0,0.0,0.0
Kyle Pitts,ATL,TE,0.0,0.0,0.0,46.8,593.2,3.7,0.0,0.0,0.0,0.0,0.0
Brenton Strange,JAC,TE,0.0,0.0,0.0,54.6,539.6,3.3,0.0,0.0,0.0,0.0,0.0
Romeo Doubs,GB,WR,0.0,0.5,0.0,44.8,572.1,4.3,0.0,0.0,0.0,0.0,0.0
Jonnu Smith,PIT,TE,0.0,1.5,0.0,51.2,535.3,4.0,0.0,0.0,0.0,0.0,0.0
Tyler Lockett,TEN,WR,0.0,0.0,0.0,48.7,563.4,3.6,0.0,0.0,0.0,0.0,0.0
Kyle Williams,NE,WR,2.1,8.7,0.0,44.1,576.6,3.5,0.0,0.0,0.0,0.0,0.0
DeMario Douglas,NE,WR,2.2,15.5,0.0,51.1,539.1,2.7,0.0,0.0,0.0,0.0,0.0
Michael Wilson,ARI,WR,1.9,7.7,0.1,44.7,547.5,3.8,0.0,0.0,0.0,0.0,0.0
Isaiah Likely,BAL,TE,0.0,0.0,0.0,42.9,510.2,4.8,0.0,0.0,0.0,0.0,0.0
Jayden Higgins,HOU,WR,0.7,2.5,0.0,43.0,570.3,3.4,0.0,0.0,0.0,0.0,0.0
Dalton Schultz,HOU,TE,0.0,0.0,0.0,49.9,516.5,3.1,0.0,0.0,0.0,0.0,0.0
Tank Bigsby,JAC,RB,157.1,620.5,4.7,15.8,114.7,0.4,0.0,0.0,0.0,0.0,0.0
Tyler Warren,IND,TE,0.0,5.5,0.0,46.7,519.4,3.4,0.0,0.0,0.0,0.0,0.0
Pat Freiermuth,PIT,TE,0.0,0.0,0.0,49.1,479.1,3.5,0.0,0.0,0.0,0.0,0.0
Jordan Mason,MIN,RB,138.0,654.0,3.8,15.2,111.0,0.5,0.0,0.0,0.0,0.0,0.0
Juwan Johnson,NO,TE,0.0,0.0,0.0,47.3,493.4,3.3,0.0,0.0,0.0,0.0,0.0
Calvin Austin III,PIT,WR,2.3,11.8,0.1,39.3,539.0,3.6,0.0,0.0,0.0,0.0,0.0
Joshua Palmer,BUF,WR,0.0,0.5,0.0,40.2,550.4,3.2,0.0,0.0,0.0,0.0,0.0
Jalen McMillan,TB,WR,2.1,19.6,0.0,38.4,484.8,4.3,0.0,0.0,0.0,0.0,0.0
Chig Okonkwo,TEN,TE,0.0,2.5,0.0,49.4,486.8,2.6,0.0,0.0,0.0,0.0,0.0
Tyler Higbee,LAR,TE,0.0,0.0,0.0,46.0,434.4,3.7,0.0,0.0,0.0,0.0,0.0
